,version,loss,accuracy,val_loss,val_accuracy
0,1,3.2267799377441406,0.0887918472290039,3.172779083251953,0.1484716087579727
1,1,3.011660099029541,0.1557496339082718,3.0445735454559326,0.1746724843978881
2,1,2.8606088161468506,0.1892285346984863,2.952433109283448,0.1965065449476242
3,1,2.7423670291900635,0.2401746660470962,2.8858487606048584,0.2314410507678985
4,1,2.6414825916290283,0.2823871970176697,2.842214107513428,0.2576419115066528
5,1,2.5534818172454834,0.3464337587356567,2.801745653152466,0.2707423567771911
6,1,2.4706435203552246,0.3566229939460754,2.7694664001464844,0.2751091718673706
7,1,2.3910787105560303,0.3770014643669128,2.742543935775757,0.2838428020477295
8,1,2.3166604042053223,0.3944686949253082,2.722164392471313,0.27947598695755
9,1,2.2469606399536133,0.4090247452259063,2.7019762992858887,0.2751091718673706
